Base DataSet,Model Method,Parameters,Mean Squared Error,R Squared
"Jul IntMnt Ref Test features selected via PCA n20, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'includeOriginalFeatures': True, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",11020.057681343515,0.6916369234800622
"Jul IntMnt Dry Test Scaled features selected via ICA n50, Test Score",Random Forest,"{'n_estimators': 20, 'random_state': 47392, 'max_features': 10}",11430.419154311068,0.6801541953538969
"Jul IntMnt Ref Test Scaled features selected via ICA n50, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",11679.034581190837,0.6731974424838323
"Jul IntMnt Ref Test features selected via PCA n50, Test Score",Random Forest,"{'n_estimators': 20, 'random_state': 47392, 'max_features': 10}",12132.234815742373,0.6605160008211031
"Jul IntMnt Ref Test Scaled features selected via PCA n50, Test Score",Random Forest,"{'n_estimators': 20, 'random_state': 47392, 'max_features': 10}",12475.935949725192,0.6508985612265934
"Jul IntMnt Ref Test Scaled, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'includeOriginalFeatures': True, 'basePredictorConfigurations': [Ridge Regression {'alpha': 1.0, 'normalize': False}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",12499.164320213744,0.6502485853377629
"Jul IntMnt Ref Test Scaled, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 1.0, 'normalize': False}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",12500.005217343514,0.6502250553678235
"Jul IntMnt Ref Test, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",13002.688069038168,0.6361589919092989
"Jul IntMnt Dry Test features selected via ICA n50, Test Score",Random Forest,"{'n_estimators': 20, 'random_state': 47392, 'max_features': 10}",13011.27634549427,0.6359186748958507
"Jul IntMnt Ref Test features selected via ICA n50, Test Score",Random Forest,"{'n_estimators': 20, 'random_state': 47392, 'max_features': 10}",13197.38943233588,0.630710861497899
"Jul IntMnt Ref Test features selected via PCA n50, Test Score",Averaging Ensemble,"{'weights': [0.60169764590083397, 0.73682916200042914, 0.83779179138512272], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",13739.338398569282,0.6155460542548794
"Jul IntMnt Ref Test features selected via PCA n20, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",14093.813732519086,0.6056271311704526
"Jul IntMnt Ref Test Scaled features selected via PCA n50, Test Score",Averaging Ensemble,"{'weights': [0.62177430779685106, 0.80406789677242629, 0.84559445435110292], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",14999.482776474635,0.5802847145716896
"Jul IntMnt Dry Test features selected via ICA n50, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 2}",15461.599809732823,0.5673537631911895
"Jul IntMnt Ref Test Scaled features selected via PCA n50, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",16057.977559969473,0.550665930590971
"Jul IntMnt Ref Test Scaled features selected via PCA n50, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'includeOriginalFeatures': True, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",16057.990072061077,0.5506655804778253
